"location_name","location_id","parent_id","level","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name"
"Mpugwe Health Centre III","RvVYLDPIzPb","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,RvVYLDPIzPb","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Masaka Municipal Clinic","fBndBN2WUYM","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,fBndBN2WUYM","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Arahmah Medical Centre","Olh3O2fIRpm","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,Olh3O2fIRpm","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Nyendo Health Centre III","thfQt8hcpAP","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,thfQt8hcpAP","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Bugabira Health Centre II","arNIJYtf78k","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,arNIJYtf78k","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Masaka Regional Blood Bank","bUDoS3JjcpY","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,bUDoS3JjcpY","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"MRC/UVRI Masaka Special Clinic","FMCCDyQXKRp","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,FMCCDyQXKRp","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"All Saints Clinic (Nyendo-Senyange)","DId8gDG2h83","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,DId8gDG2h83","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Mukungwe Prisons Health Centre II","fnjz6n2gdVc","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,fnjz6n2gdVc","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Sure Medical Clinic","phgNv3EnuY6","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,phgNv3EnuY6","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Masaka-Ssaza Prisons Health Centre II","e9ClLYWDcre","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,e9ClLYWDcre","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Butende Health Centre III","S79Lcu8O003","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,S79Lcu8O003","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kirumba Health Centre II","uOR8JASVFHX","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,uOR8JASVFHX","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Mwebaza Domicilliary","dImKFSj5cqK","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,dImKFSj5cqK","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Goodwill Imaging & Diagnostic Laboratory","i3T2aUtWzf1","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,i3T2aUtWzf1","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kitovu Mobile Clinic","LKn50qRDDAB","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,LKn50qRDDAB","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Byansi Clinic","lO2HLhkvGiX","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,lO2HLhkvGiX","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kitovu Hospital","n9fxWoPWRJB","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,n9fxWoPWRJB","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kalevu Memorial Clinic","toZuFsGOHas","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,toZuFsGOHas","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Maria-al-kaabi Health Centre III","Bkn2IYnTGIx","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,Bkn2IYnTGIx","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"St. Agnes Kasanje Health Centre II","DRp4b31su0D","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,DRp4b31su0D","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kitabaazi Health Centre III","tViSdSGUcZ3","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,tViSdSGUcZ3","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Marie Stopes Uganda Masaka","GsXgc4W640Q","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,GsXgc4W640Q","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Verona Medical Clinic","CEjqHnkRsq1","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,CEjqHnkRsq1","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Kevin Clinic","DgMvqc1Ojfu","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,DgMvqc1Ojfu","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Jj Clinic","M5Knj3O3NRa","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,M5Knj3O3NRa","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"General Medical Clinic","OYrBAEyeeXR","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,OYrBAEyeeXR","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Okoa Medical Clinic","XLnChQWpvvS","GohrmmbKC1I",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,GohrmmbKC1I,XLnChQWpvvS","South Buganda","Masaka City","Masaka City Council","Nyendo-Mukungwe Division"
"Armoured Brigade Health Centre III","bm9191Y8XWN","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,bm9191Y8XWN","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"St. Jude Kaswa Health Centre II","Uld8OK9I6em","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,Uld8OK9I6em","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Kijjabwemi Community Health Centre III","YgkreXCD7li","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,YgkreXCD7li","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Kyamuyimbwa Health Centre II","pDoGpLEW0yL","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,pDoGpLEW0yL","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Nativity of Our Lady Bisanje Health Centre II","f59MlXA9vRC","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,f59MlXA9vRC","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Masaka Prisons Health Centre III","hMXCTcwH9XJ","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,hMXCTcwH9XJ","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Martha Allied Clinic","FxQVHsa0Sre","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,FxQVHsa0Sre","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"St. Gonzaga Clinic","GLzAqobdfEp","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,GLzAqobdfEp","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Bukoto Health Centre III","GlyS73YI733","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,GlyS73YI733","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"TASO Masaka","ZO1Hltpt3Ko","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,ZO1Hltpt3Ko","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Masaka Police Health Centre III","SWWHTLQjZXW","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,SWWHTLQjZXW","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Kabonera Prisons Health Centre II","YzMnQsfUb0A","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,YzMnQsfUb0A","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Kyabakuza Health Centre III","wb2tYXUWWcv","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,wb2tYXUWWcv","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Masaka Regional Referral Hospital","vX6kcAwvaS0","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,vX6kcAwvaS0","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Mariam Domicilliary","Xe72ST17iHr","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,Xe72ST17iHr","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Africa with Love Clinic","PGeRjyaiGsg","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,PGeRjyaiGsg","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Kasooka Health Centre II","qtthRcDgqH9","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,qtthRcDgqH9","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Masaka Women Prisons Health Centre II","QvE1R4zEPN6","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,QvE1R4zEPN6","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Community Medical Centre Kabonera","x5a93MkWeyj","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,x5a93MkWeyj","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Kimwanyi Health Centre III","qjeMzMj7tdk","kJJUf7GAjjD",6,"akV6429SUqu,IEU0FjDAhBP,KJkbK1YhjFb,bpHKNqEjSlI,kJJUf7GAjjD,qjeMzMj7tdk","South Buganda","Masaka City","Masaka City Council","Kimaanya-Kabonera Division"
"Masaka DLG","gv0Df6Q2esx","bIONCoCnt3Q",4,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx","South Buganda","Masaka District",NA,NA
"Buwunga Subcounty","qr9NGNGWnKe","gv0Df6Q2esx",5,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe","South Buganda","Masaka District","Masaka DLG",NA
"Bukakata Subcounty","I2XU2SFfwnB","gv0Df6Q2esx",5,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,I2XU2SFfwnB","South Buganda","Masaka District","Masaka DLG",NA
"Kyesiiga Subcounty","FyzXNFsmkfQ","gv0Df6Q2esx",5,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,FyzXNFsmkfQ","South Buganda","Masaka District","Masaka DLG",NA
"Kyanamukaaka Subcounty","CPZioDtBpZV","gv0Df6Q2esx",5,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV","South Buganda","Masaka District","Masaka DLG",NA
"Nakasojjo Health Centre III","Hv485zI15KB","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,Hv485zI15KB","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Kamwozi Health Centre II","Qs7Gd4mGOkf","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,Qs7Gd4mGOkf","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Buwunga Prisons Health Centre II","nJp8Gxt5NOk","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,nJp8Gxt5NOk","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Mazinga Health Centre II","Y2g4sD1OGIa","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,Y2g4sD1OGIa","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Bukeeri Health Centre III","aSsroXOZSIn","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,aSsroXOZSIn","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Buwunga Health Centre III","F826wgZ6HPF","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,F826wgZ6HPF","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Tekera Health Centre II","ukLsWKO5SNd","qr9NGNGWnKe",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,qr9NGNGWnKe,ukLsWKO5SNd","South Buganda","Masaka District","Masaka DLG","Buwunga Subcounty"
"Bukakata Health Centre III","aukuvrCNcqR","I2XU2SFfwnB",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,I2XU2SFfwnB,aukuvrCNcqR","South Buganda","Masaka District","Masaka DLG","Bukakata Subcounty"
"Bulamu BwEbugagga Health Centre II","bwxDEhvrpVw","I2XU2SFfwnB",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,I2XU2SFfwnB,bwxDEhvrpVw","South Buganda","Masaka District","Masaka DLG","Bukakata Subcounty"
"Makonzi Health Centre II","bKLzfbdzjIq","I2XU2SFfwnB",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,I2XU2SFfwnB,bKLzfbdzjIq","South Buganda","Masaka District","Masaka DLG","Bukakata Subcounty"
"Lambu Health Centre II","OpHCVPDEaBb","I2XU2SFfwnB",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,I2XU2SFfwnB,OpHCVPDEaBb","South Buganda","Masaka District","Masaka DLG","Bukakata Subcounty"
"Ssunga Health Centre III","EJjtvQaTkx8","I2XU2SFfwnB",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,I2XU2SFfwnB,EJjtvQaTkx8","South Buganda","Masaka District","Masaka DLG","Bukakata Subcounty"
"Kitunga Kyanamukaaka Health Centre II","qHcSi8JgoVZ","FyzXNFsmkfQ",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,FyzXNFsmkfQ,qHcSi8JgoVZ","South Buganda","Masaka District","Masaka DLG","Kyesiiga Subcounty"
"Kamulegu Health Centre III","VQlQ4IXDdFm","FyzXNFsmkfQ",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,FyzXNFsmkfQ,VQlQ4IXDdFm","South Buganda","Masaka District","Masaka DLG","Kyesiiga Subcounty"
"Twegasse Community Clinic","jnZIqtEETZs","FyzXNFsmkfQ",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,FyzXNFsmkfQ,jnZIqtEETZs","South Buganda","Masaka District","Masaka DLG","Kyesiiga Subcounty"
"Tuzimbe Health Centre IV","M0wY5q1DCPh","CPZioDtBpZV",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV,M0wY5q1DCPh","South Buganda","Masaka District","Masaka DLG","Kyanamukaaka Subcounty"
"Kyanamukaaka Prisons Health Centre II","ltVLCvGYjES","CPZioDtBpZV",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV,ltVLCvGYjES","South Buganda","Masaka District","Masaka DLG","Kyanamukaaka Subcounty"
"Zzimwe Health Centre II","NTLrytYmRhO","CPZioDtBpZV",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV,NTLrytYmRhO","South Buganda","Masaka District","Masaka DLG","Kyanamukaaka Subcounty"
"Kyanamukaaka Health Centre IV","aTvsnjjZTyN","CPZioDtBpZV",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV,aTvsnjjZTyN","South Buganda","Masaka District","Masaka DLG","Kyanamukaaka Subcounty"
"Nkuuna Domicilliary Clinic","FFscoyk2SlD","CPZioDtBpZV",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV,FFscoyk2SlD","South Buganda","Masaka District","Masaka DLG","Kyanamukaaka Subcounty"
"Buyaga (Lake Katwe) Health Centre II","gKeRWBLDoxK","CPZioDtBpZV",6,"akV6429SUqu,IEU0FjDAhBP,bIONCoCnt3Q,gv0Df6Q2esx,CPZioDtBpZV,gKeRWBLDoxK","South Buganda","Masaka District","Masaka DLG","Kyanamukaaka Subcounty"
"Lwengo DLG","zWKcPsLNI6H","aqpd0Y9eXZ2",4,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2,zWKcPsLNI6H","South Buganda","Lwengo District",NA,NA
"Lwengo Subcounty","cYeWg82r4fI","zWKcPsLNI6H",5,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2,zWKcPsLNI6H,cYeWg82r4fI","South Buganda","Lwengo District","Lwengo DLG",NA
"Kyazanga Subcounty","NRDNqq6C6e0","zWKcPsLNI6H",5,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2,zWKcPsLNI6H,NRDNqq6C6e0","South Buganda","Lwengo District","Lwengo DLG",NA
"Kinoni Town Council","MPK8oQwqp62","zWKcPsLNI6H",5,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2,zWKcPsLNI6H,MPK8oQwqp62","South Buganda","Lwengo District","Lwengo DLG",NA
"Lwengo Town Council","P3WJNMdmdVa","zWKcPsLNI6H",5,"akV6429SUqu,IEU0FjDAhBP,aqpd0Y9eXZ2,zWKcPsLNI6H,P3WJNMdmdVa","South Buganda","Lwengo District","Lwengo DLG",NA
